District in Greater Cairo where you live,Which day of the week (Step III) are you filling the information for?,"How many HOURS did you spend at HOME/DORM today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at HOME/DORM (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at HOME/DORM (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at HOME/DORM (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption for Washing Dishes by hand during the time you spent at HOME/DORM (7.57 liters per min). 
Please insert your answer in real numbers","Water consumption for Washing dishes in a Dish Washing Machine during the time you spent at HOME/DORM (15 liters per load/cycle). 
Please insert your answer in real numbers","Water consumption during Watering Plants during the time you spent at HOME/DORM (can vary widely but try to estimate the average amount of time water is poured).
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at HOME/DORM (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","How many HOURS did you spend at UNIVERSITY today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at THE UNIVERSITY (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at the UNIVERSITY (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at the UNIVERSITY (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at the UNIVERSITY (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","Can you tell us about the type of OTHER PLACES you are filling the information for (restaurent? club? hanging around?, etc.)","How many HOURS did you spend at OTHER PLACES today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at OTHER PLACES (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at OTHER PLACES (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at OTHER PLACES (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at OTHER PLACES (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","Water consumption for Washing Dishes in a Dish Washing Machine during the time you spent at OTHER PLACES (15 liters per load/cycle). 
Please insert your answer in real numbers","Water consumption for Washing Dishes by hand during the time you spent at OTHER PLACES (7.57 liters per min). 
Please insert your answer in real numbers",
AUC Dorm,"Wednesday, November 1st 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,"plane, England, restaurant ",24,0,22.68,56.75,1,0,0,
AUC Dorm,"Thursday, November 2nd 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,"hotel, England, wedding ",24,18.92,18.9,34.05,1,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",4,66.2,0,28.375,0,0,0,1,5,0,11.35,0,2,friends house,3,0,3.78,0,1,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Thursday, November 2nd 2023",4,122.98,0,22.7,22.71,0,0,0.69,8,0,34.05,18.9,1.8,hanging out with my friends,5,0,3.78,22.7,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",3,189.2,0,0,19.46,0,0,0.46,6,0,0,7.12,0.12,Hanging around ,7,0,5.32,11.35,0.6,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Monday, October 30th 2023",9,75.68,0,11.35,0,0,0,0,9,0,22.7,0.945,0.6,Restaurant,6,0,0.63,11.35,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",7,94.6,0,22.7,0,0,0,0.65,8,0,0,3.78,0,mqr study office,10,0,3.78,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",4,47.3,0,22.6,0,0,0,1,2,0,0,1.1,0.6,Restaurant ,4,0,2.1,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",2,113.52,0,11.35,0,0,0.945,0.6,8,0,11.35,1.89,0.6,restaurant,6,0,0.945,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",12,66.22,0,22.7,7.57,0,0,1.2,7,0,11.35,3.78,0.6,Hanging around,5,0,0,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",20,0,0,22.7,0,0,0,0.6,0,0,0,0,0,Mall,3,0,0,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",12,0,0,56.75,0,0,0,1.5,0,0,0,0,0,cafe,2,0,0,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",4,94.6,0,0,0,0,0,0.23,3,0,11.35,3.78,0.6,clubhouse,1,0,0,11.35,0.5,0,0,
AUC Dorm,"Thursday, November 2nd 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,Fayoum,24,28.41,11.34,11.35,0.25,0,0,
"Az-Zamālik [Zamalek] , الزمالك","Thursday, November 2nd 2023",16,85.14,0,22.7,44.27,0,0,2,8,0,34.05,3.78,3,N/A,0,0,0,0,0,0,0,
AUC Dorm,"Wednesday, November 1st 2023",11.75,123.6,0,34.05,0,0,0,0,8.75,0,11.35,0,0.6,Hanging out,3,0,0,0,0,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Monday, October 30th 2023",6,56.76,0,11.35,0,0,0,0,7,0,0,0.63,0,MUN meeting at my old school,2,0,0,0,0,0,0,
"Ash-Shurūq , الشروق","Monday, October 30th 2023",10,217.58,0,56.75,22.71,0,0,4.6,14,0,45.4,11.34,2.4,N/A,0,0,0,0,0,0,0,
"Madīnat Sittah Uktūbar [6th of October City] , 6 أكتوبر","Wednesday, November 1st 2023",0,0,0,0,0,0,0,0,24,0,22.7,1.5,2.4,N/A,0,0,0,0,0,0,0,
"Al-Jīzah [Giza] , الجيزة","Wednesday, November 1st 2023",4,123,0,11.35,0,0,0,0.23,15,0,0,0,2.4,N/A,0,0,0,0,0,0,0,
"Al-Jīzah [Giza] , الجيزة","Sunday, October 29th 2023",5,94.6,0,0,0,0,0,0,15,0,0,12.6,1.8,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",3,0,0,0,0,0,0,0.23,11,0,11.35,3.45,1.5,N/A,0,0,0,0,0,0,0,
"Al-'Ubūr [El Ubour] , العبور","Wednesday, November 1st 2023",9,141.9,0,22.7,15.14,0,0,0.6,7,0,11.35,18.9,1.2,N/A,0,0,0,0,0,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Monday, October 30th 2023",5,94.6,0,22.7,7.57,0,0,0.6,7,0,22.7,15.12,1.2,N/A,0,0,0,0,0,0,0,
"Miṣr al-Qadīmah [Old Cairo] , مصر القديمة","Tuesday, October 31st 2023",14,47.3,0,0,22.7,0,0,1,8,0,11.35,3.78,1,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",10,0,0,56.75,0,0,0,0,0,0,0,0,1,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",16,0,0,124.85,113.55,0,0,1.8,6,0,22.7,18.9,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",18,0,0,56.75,0,0,0,1,7,0,11.35,11.34,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",16,189.2,0,34.05,0,0,0,1,4,0,0,3.78,0.6,N/A,0,0,0,0,0,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Thursday, November 2nd 2023",1,0,0,11.35,0,0,0,0.23,5,0,56.75,0.9027,0.6,N/A,0,0,0,0,0,0,0,
AUC Dorm,"Thursday, November 2nd 2023",15,0,0,34.05,0,0,0,0.6,9,0,0,0,0.6,N/A,0,0,0,0,0,0,0,
AUC Dorm,"Wednesday, November 1st 2023",20,0,0,45.4,0,0,0,1.2,4,0,0,0,0.6,N/A,0,0,0,0,0,0,0,
"Al-Jīzah [Giza] , الجيزة","Monday, October 30th 2023",7,104.06,0,11.35,0,0,0,0.46,12,0,0,0,0.23,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",21,0,0,34.05,6.993,0,0,1.2,3,0,0,0.63,0,N/A,0,0,0,0,0,0,0,
AUC Dorm,"Wednesday, November 1st 2023",20,0,0,22.7,0,0,0,1,4,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Jīzah [Giza] , الجيزة","Tuesday, October 31st 2023",12,0,0,22.7,0,0,0,1.15,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Tuesday, October 31st 2023",24,66.22,0,34.05,0,0,0,0.23,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",17,6,0,4,3,0,0,4,7,0,4,3,5,0,0,0,0,0,0,0,0,
AUC Dorm,"Sunday, October 29th 2023",13.5,0,0,22.7,0,0,0,0.6,10.5,0,0,0,1.2,0,0,0,0,0,0,0,0,
AUC Dorm,"Tuesday, October 31st 2023",18,0,0,45.4,0,9,0,1.2,6,0,0,0,1.2,0,0,0,0,0,0,0,0,
AUC Dorm,"Monday, October 30th 2023",19.5,0,0,34.05,15.14,0,0,1.2,4.5,0,0,0,0.6,0,0,0,0,0,0,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Tuesday, October 31st 2023",13,5,0.12,22.7,0,0,0,0.6,1,0,0,0,0,friend's house ,8,0,1.26,11.35,0.6,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Thursday, November 2nd 2023",9.5,23.65,0.315,11.35,0,0,0,0.23,9.5,9.46,22.7,0.378,2,hanging out,5,0,0,0,0.6,0,0,
"Ash-Shurūq , الشروق","Wednesday, November 1st 2023",2,0,0.39,11.35,0,0,0,0,12,0,34.05,0.97,1.2,friends house,4,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",7,189.2,0.40986,56.75,0,0,0,1.2,5,0,22.7,0.37856,0.6,N/A,0,0,0,0,0,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Thursday, November 2nd 2023",9,2.365,0.504,11.35,0,0,0,0,10,0,22.7,1.008,1.2,Restaurant ,5,0,0,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",18.3,0,0.567,34.05,0,0,0,1.2,5.3,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Thursday, November 2nd 2023",14,5,0.6,11.35,0,0,0,0.6,8,0,11.35,0.4,0,N/A,0,0,0,0,0,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Thursday, November 2nd 2023",3,94.6,0.63,11.35,0,0,0,0.6,5.5,0,22.7,1.26,1.2,Friend’s home,5,0,0,22.7,1.2,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Thursday, November 2nd 2023",1.5,0,0.63,22.7,0,0,0,0.23,7,0,11.35,1.26,0.6,"club, gymnastics hall ",6,0,0.95,11.35,1.2,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Monday, October 30th 2023",4,47.3,0.63,11.35,0,0,0,0.6,2,0,0,0.63,0.25,hanging out,10,0,1.89,22.7,1.1,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Tuesday, October 31st 2023",4,47.3,0.63,11.35,0,0,0,0.6,5,0,22.7,1.26,1.5,hanging around,8,0,0,11.35,0.6,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Thursday, November 2nd 2023",2,0,0.63,22.7,0,0,0,0.6,4,0,11.35,0.63,1.5,hanging around,8,0,0.63,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",6,94.6,0.63,22.7,0,0,0,1.5,6,0,22.7,0.63,0.6,with friends in a house,2,0,0.63,11.35,0.23,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Monday, October 30th 2023",2,0,0.63,11.35,0,0,0,0.6,10,0,45.4,2.52,1.8,N/A,0,0,0,0,0,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Tuesday, October 31st 2023",6,0,0.63,11.35,0,0,0,1.2,6,0,34.05,1.89,1.2,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",16,0,0.72,34.05,0,0,0,2,5,0,0,0,0,Gym,3,0,0,0,3,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",10,189.2,0.73622,56.75,0,0,0,1.2,5,0,11.35,0.39084,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",6,189.2,0.75144,56.75,0,0,0,1.2,8,0,22.7,0.52988,0.6,N/A,0,0,0,0,0,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Wednesday, November 1st 2023",10,104.06,0.756,11.35,0,0,0,0.4,6,0,11.35,0.441,0.6,Restaurant ,4,0,0.63,11.35,0.6,0,0,
"Al-Mūskī , الموسكي","Monday, October 30th 2023",3,0,0.756,0,0,0,0,0.3,5.5,0,45.4,3.75,1.2,gym,2.5,141.9,1.512,22.7,0.3,0,0,
"Ash-Shurūq , الشروق","Monday, October 30th 2023",4,89.6,0.77,22.7,0,0,0,0.23,6.5,0,22.7,0.9,0.6,friend's house,5,0,0,11.35,0.92,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",5,189.2,0.78164,68.1,0,0,0,1.2,7,0,22.7,0.42864,0,N/A,0,0,0,0,0,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Thursday, November 2nd 2023",8,85.14,0.945,22.7,0,0,0,0.23,11,0,22.7,2.835,0.6,bbq on a roof,5,0,5.67,11.35,0.23,0,30.28,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Tuesday, October 31st 2023",12,113.52,0.945,22.7,0,0,0,0.46,4.5,0,11.35,0.945,0.6,hanging around,7.5,0,0.945,11.35,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",24,0,0.95,34.05,0,0,0,2.7,0,0,0,0,0,N/A ,0,0,0,0,0,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Monday, October 30th 2023",16,5,1,34.05,0,0,0,1.2,7,0,11.35,0.26,0.6,N/A,0,0,0,0,0,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Wednesday, November 1st 2023",16,7,1,22.7,0,0,0,7,7,0,11.35,0.6,0,N/A,0,0,0,0,0,0,0,
"Az-Zamālik [Zamalek] , الزمالك","Sunday, October 29th 2023",14,227.04,1.008,11.35,0,0,0,0.6,8,0,22.7,1.764,1.8,cae,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",11,0,1.071,22.7,0,0,0,0.2,13,0,22.7,0.83,0.4,N/A,0,0,0,0,0,0,0,
"Qaṣr an-Nīl , قصر النيل","Tuesday, October 31st 2023",4,39.24,1.08,11.35,0,0,0,1.2,0,0,0,0,0,Work/Office-MAD Solutions,10,0,1.68,22.7,1.2,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",20,0,1.134,34.05,0,0,0,1.2,1,0,0,0,0,Gym and cafe,4,0,0.756,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",21,217.58,1.134,22.7,0,0,0,1,0,0,0,0,0,Restaurant ,3,0,0,0,0,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Thursday, November 2nd 2023",15.75,94.6,1.134,22.7,0,0,0,0.6,8.15,0,34.05,1.134,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",21,0,1.134,34.05,0,0,0,1,3,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",4,75.68,1.2,22.7,0,0,0,0.6,4,0,0,0,0.6,Restaurant ,2,0,0.89,0,0.23,0,0,
"Madīnat Sittah Uktūbar [6th of October City] , 6 أكتوبر","Tuesday, October 31st 2023",6,94.6,1.2,11.35,0,0,0,1.2,10,0,0,1.2,1.2,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",12,0,1.2,11.35,0,15,0,1.3,12,0,11.35,1.1,0.23,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",16,0,1.26,45.4,0,0,0,0,5,0,0,0,0,Gym,3,0,0,0,3,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Sunday, October 29th 2023",17,12.58,1.26,22.7,0,0,0,2,3,0,0,0,1.5,club,4,11.352,0,11.35,1,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",8,113.52,1.26,34.05,136.26,0,0,0.6,8,0,22.7,1.89,1.5,hanging out,8,0,1.26,11.35,0.6,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Wednesday, November 1st 2023",4,0,1.26,22.7,0,0,0,0.6,4,0,11.35,0.63,0.25,hanging around,5,0,0.63,11.35,0.6,0,0,
"Al-Muqaṭṭam , المقطم","Thursday, November 2nd 2023",10,0,1.26,11.35,0,0,0,0.46,6,0,22.7,2.52,0.6,friend’s house,8,0,3.78,22.7,0.46,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",15.5,47.3,1.26,22.7,0,0,0,0.23,0,0,0,0,0,Cousin's house ,6,0,0.945,11.35,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",5,0,1.26,22.7,0,0,0,1.5,6,0,11.35,0.63,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",5,0,1.26,22.7,0,0,0,0.9,6,0,11.35,0.63,0.6,N/A,0,0,0,0,0,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Sunday, October 29th 2023",11,66.22,1.26,22.7,0,0,0,0,13,0,11.35,0.441,0.6,N/A,0,0,0,0,0,0,0,
"Ash-Shurūq , الشروق","Thursday, November 2nd 2023",5,154.6,1.29,11.35,0,0,0,0.23,0,0,0,0,0,restaurant and friends house,6,0,0,34.05,1.2,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",13,141.9,1.323,22.7,0,0,0,0.6,4,0,0,0,0.3,gym and Friends house,7,0,1.512,11.35,1.2,0,0,
"Ash-Shurūq , الشروق","Sunday, October 29th 2023",17,264.88,1.323,22.7,0,15,0,1.52,7,0,34.5,6.048,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",24,56.76,1.323,45.4,0,15,0,1.5,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",3,54.7,1.34,11.35,0,0,0,0.3,8.5,0,34.05,4.01,1.2,restaurant,2,0,2.56,0,1.2,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",0.5,46.7,1.386,11.35,0,0,0,0.23,12,0,68.1,11.34,3.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",4,102.35,1.4,22.7,0,0,0,2.4,7,0,0,0.9,0.6,Gym,2,0,0,0,1.2,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",16,0,1.4,34.05,0,0,0,0.5,3,0,0,0,0.23,restaurant/hanging around,5,0,0.504,11.35,0.4,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",24,61.5,1.4,11.35,0,15,0,3.2,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Thursday, November 2nd 2023",1,28.364,1.43,0,0,0,0,0.125,8,0,11.35,3.02,0.6,Hanging around,8,0,1.01,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",16,0,1.45,22.7,0,0,0,1.4,8,0,11.35,0,0,Gym,3,0,0,0,2,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",8,0,1.5,11.35,0,0,0,0.3,0,0,0,0,0,Family house,16,0,6.89,22.7,1,0,0,
